eadpool max workers: 1000
2026-05-11T22:49:04 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 1786d032-6a0b-4bba-8716-c866765d6b05, function type: sync, timestamp (UTC): 2026-05-12 03:49:04.167405, sync threadpool max workers: 1000
2026-05-11T22:49:06 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 4d030e4a-2ac4-4f8e-bdf1-6aec7dd37299, function type: sync, timestamp (UTC): 2026-05-12 03:49:06.670473, sync threadpool max workers: 1000
2026-05-11T22:49:09 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 78aeda1d-43f5-43ef-98d8-c26948bb1709, function type: sync, timestamp (UTC): 2026-05-12 03:49:09.173998, sync threadpool max workers: 1000
2026-05-11T22:49:11 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 196fab8a-9407-4d2a-9390-b2b9d1ec3fa7, function type: sync, timestamp (UTC): 2026-05-12 03:49:11.677811, sync threadpool max workers: 1000
2026-05-11T22:49:14 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: dd7fb3bb-dbf0-461c-ad60-5b5c6056a19d, function type: sync, timestamp (UTC): 2026-05-12 03:49:14.180809, sync threadpool max workers: 1000
2026-05-11T22:49:16 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 5593a4fd-3ae2-47be-8e3c-424cda55d93b, function type: sync, timestamp (UTC): 2026-05-12 03:49:16.684074, sync threadpool max workers: 1000
2026-05-11T22:49:19 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: b38b4f2c-deea-4f6c-aa37-a2159eb19b62, function type: sync, timestamp (UTC): 2026-05-12 03:49:19.187833, sync threadpool max workers: 1000
2026-05-11T22:49:21 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 66ad90fe-6604-4336-bf2c-7c7e0552fe9e, function type: sync, timestamp (UTC): 2026-05-12 03:49:21.690981, sync threadpool max workers: 1000
2026-05-11T22:49:22 | INFO | planner_sync_service_v5 | 📊 Health Check: processed=0 pending=0 failed=0 rate=ok webhooks=1
2026-05-11T22:49:24 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: da199d08-ffb9-4c66-8901-8481bf9c5d5a, function type: sync, timestamp (UTC): 2026-05-12 03:49:24.194744, sync threadpool max workers: 1000
2026-05-11T22:49:26 | INFO | azure_functions_worker | Received FunctionInvocationRequest, request ID: 883fa8c1-f185-4bd4-a973-ef5aa35fd808, function ID: 5c8aba1c-6a9b-5068-81c1-70e4b9a102a5, function name: readiness_check, invocation ID: 9b4918bf-a29e-4487-976f-a47a31fc91a7, function type: sync, timestamp (UTC): 2026-05-12 03:49:26.698166, sync threadpool max workers: 1000
